,,,,,,,,,,,,,
0,,,,,,,,,,,,,
244,0,,,,,,,,,,,,
220,182,0,,,,,,,,,,,
213,176,159,0,,,,,,,,,,
196,163,147,142,0,,,,,,,,,
192,160,144,139,129,0,,,,,,,,
192,159,144,139,128,126,0,,,,,,,
189,156,141,137,126,124,123,0,,,,,,
186,154,139,135,124,122,122,120,0,,,,,
173,144,129,125,116,113,113,111,110,0,,,,
172,142,128,124,115,113,112,110,109,101,0,,,
168,140,126,122,113,110,110,108,107,99,98,0,,
168,139,126,122,112,110,110,108,106,99,98,96,0,
167,139,125,121,112,110,109,107,106,99,98,96,96,0
